id,text,label_text
26,"I don't buy it. Ms. Mansfield makes a distinction between ""facts"" and ""truth"". She says there is a ""factual truth"" and an ""emotional truth"", and that ""psychologists tell us"" that most of us make (most? all?) our decisions based on ""feelings"". Do we then need to call it ""emotional"" truth? Let's leave out the ""truth part, and admit those decisions have little fact or truth, but only the strength of our emotions, and as such are apt often to go badly wrong; we see the results in the pages of our newspapers every day. ""Emotional truth"" led to witch burnings, the murders of heretics in inquisitions, the massacres and enslavement of peoples we ""felt"" were subhuman, and today, the incorrect ""emotional truth"" that persons with dark skin, another religion, or both, are murderers at the very least.

Facts can be manipulated; we call that ""lying"". ""Emotional truth"", though it be deplorable bigotry, can be used by a strong man to gain and keep power at the expense of his sad mob of losers.",not toxic
27,please provide world hot news,news_query
28,what is the time in the pacific time zone at this very moment,datetime
29,"My friend deposited $100 into my account, but it is not showing up!",balance_not_updated_after_cheque_or_cash_deposit
30,I bought an item and the exchange rate was wrong.,card_payment_wrong_exchange_rate
31,set the color of light to red,iot
32,"I seem to recall that protests had a lot to do with ending our shameful participation in Vietnam, also.  Protests aided the early suffragette and women's rights movement in securing equitable laws -- and aren't there annual pro-life marches across the US?  Showing solidarity of values and protesting problematic conditions and policies are foundational to democracy.p as we know it.",not toxic
33,what is the weather near me,weather
34,find out if kfc delivers please,takeaway_query
35,current world news,news
36,"Fairness? Certainly a sweetheart deal for those who have large families. And who are they? Stats Can will identify them for you. 

The program certainly distorts the support levels for single disabled persons receiving welfare compared to families on welfare.

Fairness is of course an opinion and opinions may differ. A couple who choose not to have children may wonder if it is fair that they contribute to childcare, schooling, universities, medical costs and now this welfare program for people who cannot afford to raise their own children. I grew up in a low income household but my siblings and I inherited a work ethic and a culture of being self sustaining.

It is always ironic how people who pay no federal taxes have so much to say about how the tax dollars should be spent.",not toxic
37,show current track in music player,music
38,Why wasn't my top-up accepted and where did that money go? At first it said it was confirmed but now I can't find it.,top_up_reverted
39,should i wear galoshes today,weather
40,please tell me the latest news of world,news
41,Can I use my account before my Identity verification has passed?,why_verify_identity
42,olly what is the song,music_query
43,"When was that era? You are forgetting the city's always had its share of losers, newbies galore feeding our ongoing boom and bust cycle, and druggies. Google Hop Alley. Not the restaurant.",toxic
44,I see a payment on my statement for  a place I didn't make a purchase at.,card_payment_not_recognised
45,really?? go to alaskalist.com or grab a classified section of your local newspaper.,not toxic
46,Is there a list of where I can use my card?,card_acceptance
47,start a takeaway order for me,takeaway
48,"""He does not care about our international image,""

How so? Are you suggesting that the payment to Khadr was not something of which all Canadians could be proud?",not toxic
49,vacuum the carpet freshener from the carpet,iot
50,"It isn't the censors, weary one.  It's the community.

There are those among us who deem comments uncivil because they don't jibe with their point of view.  An infantile reaction, and one not exclusive to any political stripe --although my casual observation is that those on the far right tend to be the most shrill about it.",not toxic
51,dim the lights in the kitchen,iot_hue_lightdim
52,What are the exchange rates?,exchange_rate
53,order take-out from pizza restaurant,takeaway
54,do they have take-out,takeaway
55,play green day,play_music
56,remove all alarm of sunday,alarm
57,And Buck and all of the other right-wing extremists have killed a once-respectable Republican party.,toxic
58,Why do I still have a pending cash withdrawal?,pending_cash_withdrawal
59,"What percentage of homes in other cities are vacant?  
Perhaps you might look at New York, London and a few large cities and see how they deal with this instead of trying to invent something that has probably been done already?",not toxic
60,Who accepts the card?,card_acceptance
61,They don't care and are only interested in power control and money not its flock!!,not toxic
62,Tell me the currencies that you support.,fiat_currency_support
63,lessen the light glow,iot_hue_lightdim
64,what time is it in the other time zones,datetime
65,are there any alarms set right now,alarm
66,"You are absolutely correct about the GDP. Missing of course perhaps by accident is the fact that Ontario has three times the population of Alberta. Missing as well is the fact that Ontario receives transfer payments from the revenues of the have provinces, Alberta being one of them. That same Alberta that has a lower GDP then Ontario.",not toxic
67,"""This article has attracted the Troll Factories like little else lately."" - says Mr. Troll himself.
No kidding.
But here's one for you: if you (under any name) think, that contradicting your bile is trolling, I'd be glad to wear it, as a badge of honour, Chuckie.",toxic
68,charges of delivery,takeaway
69,please stop for a bit,audio
70,what is the time in boston,datetime
71,ask them to remember always to lock the door and keep a careful watch on their keys,alarm
72,south it going to be hot tomorrow,weather_query
73,play songs by sia,play
74,"I deposited a cheque with some money, but the balance hasn't changed.",balance_not_updated_after_cheque_or_cash_deposit
75,i want to hear my favorite song from iron maiden,play_music
76,i really ska music,music_likeness
77,"How can Anchorage be safe when it is a sanctuary city? Three women from Catholic Social Services were responsible for placing hundreds of Muslims in Anchorage which were not properly vetted and CSS was paid $200,000.00 by the government for this. Constitutionally illegal as religion and government are supposed to be separate.",not toxic
78,"There are a couple payments with my card shown in the app that i really didn't make myself. What's going on with this, does someone has access to my card?!",card_payment_not_recognised
79,"Pretty scant in details for an ""article"".
Where was this? ""South of Downtown Kirkland"", is not enough info.
Male or Female?",not toxic
80,What is the highest amount I can top-up?,top_up_limits
81,vacuum on,iot_cleaning
82,alert me when the outside temperature reaches sixty eight degrees,weather
83,How do I link one of your card that I already have?,card_linking
84,The amount of cash I received was not the full amount,wrong_amount_of_cash_received
85,Can I make an account for my daughter?,age_limit
86,make this my favorite,music_likeness
87,what is the time over in florida,datetime_query
88,please order some sushi for dinner,takeaway_order
89,set my alarm for six thirty in the morning tomorrow,alarm_set
90,Which fiat currencies do you currently support? Will this change in this future?,fiat_currency_support
91,My card will not work,card_not_working
92,remember that this song is good but too slow to exercise to,music
93,mute speaker,audio_volume_mute
94,You first.  You want the guns.  People like you always look to others to solve a problem.,not toxic
95,what will be tomorrow's weather in this location,weather_query
96,keep me updated on the latest storm news,news
97,make the light more brighter,iot_hue_lightup
98,play my playlist,play
99,mute the speakers,audio_volume_mute
100,My automatic top-up was unsuccessful,top_up_reverted
101,What happens if I deposit a cheque accidentally?,balance_not_updated_after_cheque_or_cash_deposit
102,what is the time difference between pacific and central,datetime
103,tell me b. b. c. news,news
104,please mute the volume control,audio
105,remove alarm of seven thirty am on monday,alarm
106,"Elway lucked out getting Manning. It isn't an exact science finding a winning starting quarterback.  NE got insanely lucky with Brady, Rodgers fell to late 1st round. Bust and Boom is the cycle",not toxic
107,save the last radio stations of the last month,music_likeness
108,it is time to lower the kitchen lights,iot
109,"It is estimated that 47% of the condos in downtown Richmond are sold and empty. Many other areas of metro Vancouver, like Cambie and Marine, are 25% sold and vacant.

Speculation? A safety deposit box for overseas money?",not toxic
110,"Donie: that is cruel, but so very true.  PK always plays his very best when at the edge of things, this is one of those moments.",not toxic
111,play the song doggy style in continuous mode,play
112,what is the current mountain time,datetime
113,"This precedes Trump so your argument is invalid.  Also, it wasn't just one guy. Do you even watch football?

And if it's not such a big deal why don't they just stand the hell up instead of bringing politics into an arena it doesn't belong in? Just play f**king football.",toxic
114,"Sandia:

I think this is VERY close to the final truth!!!!  Kind of reminds me of Trump's attempt at literature -- tweeting his thoughts, a la James Joyce. (Wonder if the Globe ever thought that their software would be used for such a 'noble' venture.....",not toxic
115,is the coffee ready,iot
116,"It protects whoever the government says it protects.  It's just that successive gormless governments have attempted to ignore the issue (Chretien, Martin, Harper, Trudeau).",not toxic
117,olly lights off,iot_hue_lightoff
118,if there news about up politics what is that,news
119,should i wear a coat to the pool,weather_query
120,how was the weather this week,weather
121,Can i use this card at any store?,card_acceptance
122,A payment shows up on the app that I never made.,card_payment_not_recognised
123,let me know any updates about new trump cabinet appointments,news
124,olly change my light color to blue and please turn off the kitchen light,iot_hue_lightchange
125,"If my cash withdrawal is still not showing, is something wrong?",pending_cash_withdrawal
126,I'd like to make some changes to my personal information.,edit_personal_details
127,can i go without coat now,weather_query
128,am i going to bring umbrella later,weather_query
129,show me the seven day forecast for home please,weather_query
130,how is the weather looking in los angeles,weather_query
131,i want to slow down my speaker,audio_volume_down
132,Why am I being charged fees on some transactions but not on others? What am I missing here? I cannot find where to see the fee structure on my account. Help!,card_payment_fee_charged
133,turn the lights blue at three p. m.,iot_hue_lightchange
134,what is the weather near me,weather_query
135,play song all the small things,play
136,"The roads that are being built and repaired will benefit the mining companies who come in and exploit the Yukon.  None of the new roads will be of any benefit to the general population.  

We have roads that are badly in need of repair due to the damage caused by permafrost that will have no work done on them at all.",not toxic
137,vacuum the living room in ten minutes,iot
138,Do you have a list of businesses that accept this card?,card_acceptance
139,Surely fascism or totalitarianism with Trump is the answer.,not toxic
140,"NO, Citizens have free speech.",not toxic
141,what the time difference from here to ottawa,datetime
142,How do I make my card show up in the app?,card_linking
143,The recipient doesn't see the money transaction I made,transfer_not_received_by_recipient
144,keep the socket in off condition,iot
145,I think the currency exchange that's been applied is wrong.,card_payment_wrong_exchange_rate
146,make the room blue,iot_hue_lightchange
147,please speak loud,audio_volume_up
148,Why did I only get $20 now the full amount I wanted?,wrong_amount_of_cash_received
149,Are there limits to businesses that will accept this card?,card_acceptance
150,increase volume,audio_volume_up
151,"Picky, picky, picky. 
Did it not occur to you that someone would remember that Joe* was wearing a gray hooded sweatshirt, red baseball hat with gray bill and either black pants or blue jeans when he left or arrived back the house? And yes, Main Street is fairly long, but there's only one Walgreens on Main St.",not toxic
152,tell me the humidity level downtown today,weather_query
153,tell me all the takeaways nearby and i want to order food,takeaway
154,How can I tell if my top-up has been cancelled?,top_up_reverted
155,what's the latest news from b. b. c.,news_query
156,There's been a transaction to the wrong account.,cancel_transfer
157,who is the artist of the current playing song,music
158,"I recently purchased something, and the exchange rate was wrong.",card_payment_wrong_exchange_rate
159,"She writes opinion pieces, just like a music critic writes opinion pieces.",not toxic
160,"I asked for a certain amount of money from the ATM, but it gave me a different amount. Less than what I asked for.",wrong_amount_of_cash_received
161,How can I get my PIN unblocked?,pin_blocked
162,show me tomorrow weather of mumbai,weather
163,"MG - how is that supposed toconvince anyone of anything?

I dont get CPC posters - they seem to go out of their way to alienate EVERYONE - how are you supposed to win an election like that?",not toxic
164,yo what's the current time,datetime_query
165,I put money in my account a week ago but its still not there?? What happened to my money?,balance_not_updated_after_cheque_or_cash_deposit
166,increase the volume,audio
167,what music do i prefer,music
168,does that restaurant deliver,takeaway_query
169,display current time,datetime
170,And how much is that in dog years?,not toxic
171,Why do you need to perform identity verification?,why_verify_identity
172,is it snowing now,weather_query
173,"I didn't want to make a transaction, I want to revert it",cancel_transfer
174,show me tomorrow's weather in this area,weather
175,which restaurants offer take out food,takeaway_query
176,find a joke in your vault and tell me,general
177,please remove this alarm,alarm_remove
178,set an alarm for five hundred and thirty,alarm
179,place a take out order at olive garden,takeaway_order
180,"Jaybe, How are you enjoying your free unicorn rides and rainbow colored sunsets?",not toxic
181,play britney spears crazy,play_music
182,how many hours gone from midnight on city,datetime_query
183,"I like all the ""Harper signed this!!!.."" posts

OK. So what is the point? Is going to be sued? By who, and for what? Oh, I get it, you won't vote for him to be re-elected...good luck!

And as for the Dion signing off on it means nothing(!) line of thinking...
.

""Gee, your Honour, I only signed the credit card invoices for all those goods, and services, but it is my ex-wife who actually ordered those items...so you see, I am not really responsible for those charges, she is...""
.


That always works out, doesn't it? Dion only signed off on it, but the Conservatives are actually ordered those vehicles, so they are responsible, right?",not toxic
184,"""...If that was all true they would have built it...""
.
.
.
because all you have to do, is go down to a government office, and get a permit to build, right?

No environmental review(s) which can go on for years, no native groups that will protest, no demands for ""social license"", no multiple levels of government demanding their ""fair share"" of profits - not costs...

easy, no?",not toxic
185,I need to know what these extra charges are on my statement?,extra_charge_on_statement
186,He is a wishy-washy fence-sitter.,not toxic
187,inform me about international news,news_query
188,How do I make a currency exchange?,exchange_via_app
189,play music for me,play_music
190,is it going to rain in the evening,weather
191,play joy division,play
192,can you change the light colors in the house,iot
193,change color of lights,iot_hue_lightchange
194,search the album name with katy perry,music_query
195,what's the weather like in toronto,weather
196,when is my food going to be here,takeaway_query
197,Hail to the chief.,not toxic
198,Can I transfer money using the SWIFT service?,top_up_by_bank_transfer_charge
199,i'd like a coffee please,iot_coffee
200,i need help. I updated my balance with a check yesterday and Im not seeing it. Can you look at my account to see what went wrong?,balance_not_updated_after_cheque_or_cash_deposit
201,"KPMG plundered billions from the govt., didnt do their job with integrity and are now in clandestine meetings that too with the EX Fm whom they serve. Wow.",not toxic
202,when is the next holiday,datetime_query
203,time to workout,play_music
204,what is the current date today,datetime_query
205,Congratulation You have uncovered that Stewart is against dog eating.,not toxic
206,The top-up is broken.,pending_top_up
207,"After that, bob, you should worry about how you look...",not toxic
208,"I agree that kids have the cognitive ability to read very early.  But the eye-hand-brain connection doesn't develop at the same rate for all.  Your own experience must tell you that.  First they must acquire the tools for reading letters and numbers, to associate the sounds they hear with the shapes they see.   Having the tools helps each student begin to learn on his/her own.
Head start teachers use fun, innovative ways to help that development along.  Yes, parents can foster that process, but some don't know where to begin, and are very grateful for directions.",not toxic
209,How long should it take for my top-up to finish? I've been waiting a while.,pending_top_up
210,I noticed the currency exchange rate was incorrect after paying for something in a foreign country.,card_payment_wrong_exchange_rate
211,the set alarm for nine p. m. on thursday night,alarm
212,What is the delivery time to the US?,card_delivery_estimate
213,"Sarcasm right?

If not, do you seriously believe that this sad breathtakingly puerile “I hate Trump” tantrum is what passes for journalism?",not toxic
214,what time zone is arizona,datetime_query
215,What a surprise that the WH defends the firing.  Has Trump ever said he was wrong?  Ever?,not toxic
216,"This is the most profoundly silly comment on this board. Perhaps alcohol advertising guidelines are in need of some revision, but your hyperbole are merely a hindrance.",not toxic
217,pull up the news,news_query
218,tell me about the most recent road construction on route seventy,news
219,"There are charges on my card from the past few day I am pretty sure I didnt make, can you please freeze it for me? How do I get my money returned since it wasnt me?",card_payment_not_recognised
220,"To deliver to the US, how long will it take?",card_delivery_estimate
221,will i need sunblock this afternoon,weather
222,"I moved, can I edit my personal details?",edit_personal_details
223,I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,pending_cash_withdrawal
224,I transferred money and it hasn't come yet,transfer_not_received_by_recipient
225,How can I use my American Express to add money into my account?,supported_cards_and_currencies
226,"I think you're right about Charles,  I made the mistake of thinking that GBA was quoting Charles, but I was mistaken.   
*****
If I say ""God"", it will bring an image of God's character to others.  

My 'God' would not pick and chose winners in an elections.   He/she would know us in ways we can't see ourselves.    She would see the timeless shared bond of all life and embrace us, all of us.   (others have a God that scares the begeebers out of you!)  

I can't say my God image is complete - how would that even begin to be possible?   I chose to believe that God loves us all, including our enemies.  

If  I was Buddhist I might believe that a person I'm angry with, could be my mother, father, son, daughter from a past life.  Would we say something kinder to a person if we knew they had nurtured us in the past? 

My faith is in  a generous and loving God. 

If it's nothing but a purposeful delusion, I'll take it over political partisanship.",not toxic
227,hey sound is low can you tune it up,audio
228,play me all jazz music,play
229,The App shows a fraudulent payment made on my account.,card_payment_not_recognised
230,How do I change my address ?,edit_personal_details
231,what is the time difference between central and eastern,datetime_convert
232,i need a good joke,general_joke
233,what time is it in honolulu,datetime
234,please arrange to wake me up at three am alarm,alarm
235,put the last song on repeat,music
236,When will my card be delivered?,card_delivery_estimate
237,tell me the weather in utah,weather_query
238,keep me updated on the latest storm news,news_query
239,turn up the lights in the living room,iot_hue_lightup
240,look up news articles about trump,news_query
241,can you change my time zone from central time to pacific,datetime_convert
242,let me know the alarm time,alarm_query
243,let me know if anything happens on that subject,news_query
244,Why do you care about my little emotie guys?,not toxic
245,"I am not sure about MSW's qualifications either....the fact that he handled the EITC issue so quickly when it's absolutely critical in folks lives...?  Simone was right!

Think Simone highly qualified to comment on the issue...would have much preferred her commentary.

Am not  aware of any seriously qualified (on poverty issues) NCR regular contributors...

Think it a great idea to hire one...",not toxic
246,what is the current price of brent crude,news
247,"On a card payment, why is there a fee?",card_payment_fee_charged
248,"But NY Times etc...aim higher than that surely, seeing as they want to be seen as beacons in a dark time.",not toxic
249,what is the latest local news for the greenville area,news
250,I am having trouble with the app recognizing me.,unable_to_verify_identity
251,what is the weekly weather report,weather_query
252,can you tell me the temperature for saturday night,weather
253,"I do not appreciate it. So long as a pope teaches and preaches in conformity with the magisterium--he SHOULD silence his critics, for they presumably would be causing scanadal or spreading error.What is the name of that traditional order that was essentially mothballed last year? And this pope, the pope of ""mercy"", never misses an opportunity to lambaste traditionalists.",not toxic
254,please tell me a joke that i'll think is funny,general_joke
255,Why is the exchange rate on my card wrong?,card_payment_wrong_exchange_rate
256,"I checked my statement and saw a charge of one pound, where is this charge coming from?",extra_charge_on_statement
257,"Wouldn't it wonderful if the greatest problem in the world, or even in the local community, was determining whether or not to ""officially"" name Kesey Square....Kesey Square.. officially naming it for Ken Kesey won't suddenly attract those ""druggies"" some associate with Mr. Kesey.  Naming it ""Broadway Plaza"" or ""Abstention Place"" won't drive them away.  

How about naming it for Mr Kesey and, in the dedication speech, mentioning it's in recognition of his writing, not his drug use.....since that, in fact, is the motivation for the support of naming it for Kesey.  Then, who knows, the Council might find some issues of more importance to address....Gary Crum",not toxic
258,"I want to know which currencies and cards are supported, can you provide a list?",supported_cards_and_currencies
259,"So truly, is this about privacy and personal rights, parental control, or your personal religious beliefs? Be honest. Some of these girls are in a terrible position, and as far as I am concerned it should be primarily about them and their health, not somebody else. They did not get pregnant by themselves, they are the most impacted by their options, and few are choosing to get pregnant. It does take two you know. In a perfect world they would involve their family in reproductive decisions, but there are many far less than perfect families and parents, incest is very real in Alaska, and there are many situations vulnerable juveniles can be pressured or forced into. I am not willing to sit in judgment nor apparently the courts.",not toxic
260,"I think this battle, or opposition among Republicans over health care is the beginning of the ""draining of the Republican swamp"". The Democrat swamp has been drained though elections. 

The Democrat Party has existed based on promises made elections after elections, after elections, that never materialize for Democrat voters. Republican thought they could get away with doing the same thing. Run on repealing all of OBAMAcare, vote knowing Obama would never sign it, and then, OPPS, Trump won. So now many Congressional Republicans have been exposed for the campaign games to many politicians, on both sides, play.",not toxic
261,what time is it in new york,datetime
262,tell me a joke about lawyers,general
263,what date is the fourth monday of march this year,datetime
264,play my motivational playlist,play
265,"Copyright infringement, apparently.  

Next thing you know, we'll face the same legal disclaimers we get during televised NFL or MLB games:  ""No indigenous content or images may be used without the expressed consultation with, involvement with, and approval of the AFN or its affiliates.""",not toxic
266,"The ""color rush"" uniforms has me turning off more games than the kneeling.",not toxic
267,which day is friday the thirteenth this year,datetime_query
268,can you open beatles,play_music
269,what has shown up in the news recently,news
270,order the best priced general tofu in nyack,takeaway
271,"Hey Mike, Lets all circle around and hold hands now, sing after me ""the world is a wonderful place kumba ya.....the world is full of wonderful people kumba ya.....love love love""  Give me a break!",not toxic
272,"Address the specific examples Metal. What part of that do you not grasp?

Do you agree with, or not agree with, the persecutions of the professors in question in the article?

Your pomposity is a nice coward's dodge, but it is rather limited and transparent.",not toxic
273,order a smoked meat platter from beanos,takeaway_order
274,order spaghetti from spaghetti warehouse to bring home,takeaway_order
275,What types of fiduciary currencies are supported for tenure and exchange?,fiat_currency_support
276,A leftist can say just about anything and some cranky conservative will something to complain about.,not toxic
277,how much will I be charged for making a transfer?,top_up_by_bank_transfer_charge
278,who is singing this song,music_query
279,tell me if the olive garden allows takeaway,takeaway_query
280,Too bad hitlery is not the wanker in chief so she could import these fine people. After all you have to go along with this stupidity or you are a hater.,toxic
281,"There are no ""moderate Republicans"".  Only lost souls who lean far to the left but not quite far enough to be welcomed into The Democrat Party.  But, then, DNC would oust Harry Truman were he alive today.",not toxic
282,"I accidentally chose to exchange GBP, but I need to pick AUD. How can I change it?",exchange_via_app
283,what is the time,datetime_query
284,I'm pretty sure the taxpayers are paying the freight and that the volunteers have fat expense accounts.,not toxic
285,can you save this what a nice song for me,music_likeness
286,"I missed the pun, but Hydrogen fuel cells are the wave of the future. There is a large investment going in. Toyota and Amazon are two examples. Fuel cells can power homes, farm equipment, and all sorts of specialized machinery.",not toxic
287,"""I homeschool 3 of my 4 and two of my kids are a year ahead and they are all smarter then I ever was at their age""
Did you get assistance from the state education system such as a curriculum, teaching materials, schedules, goals, etc?  Did you accept and listen to the advice and assistance?
Do you honestly expect her to do the same when it comes to public education or ignore any contrary study, facts, expertise, etc. to assert her own ideology?",not toxic
288,play bus driver,play_music
289,play sixty,play
290,When I topped up the app has seemed to reverted it.,top_up_reverted
291,play taylor swift,play
292,i don't want to carry an umbrella will we have rain today,weather
293,turn up the volume of my speakers,audio
294,"That's exactly what it was woman did not deserve to die she will be missed and loved, plus the guy that shot the woman is crazy when on meth I have been told by friends so yes I can say drugs but how did this guy rent in a nice neighborhood and no one even knew thinking they were safe in there expansive neighborhood no blame just action and more help for these kinds of people or guess what it's going to be your kid your brother or even your mom on these sickle addicting drugs but that's my opioon and everyone's untitled and I don't see why they can't be prevented better maybe if they would have just took action and went in she would still be alive maybe not but guess what same outcome",not toxic
295,list all of my upcoming alarms,alarm_query
296,wake me up at six am,alarm
297,order some fried chicken from church's chicken via grubhub,takeaway_order
298,what time is it in new york city right now,datetime_query
299,fix the lights in the living room to red,iot
300,set an alarm for me at eight am,alarm
301,How much does a transfer cost?,top_up_by_bank_transfer_charge
302,Where did the  €1 fee in my statement come from,extra_charge_on_statement
303,"You wrote ""As for truth, for those that believe in God as I do, it comes from Him, and we encourage, but not force, others to consider that possibility. For those that don't believe in God, there either is no truth if they are honest with themselves, or they try to impose whatever they regard as truth on others by whatever means they have, and the most ruthless and powerful win."" Talk about a Manichaean quandary! not to mention, a full truckload of ripe horse manure. To paraphrase, either you are a righteous believer; otherwise, there is no truth! And furthermore, unbelievers manufacture their own truth, and then force it upon others! Then you ask God to help you be on His side! Following that logic, whatever you believe to be the truth is revealed to you by God! Therefore, when others disagree with you they are wrong, because God has told you what the actual truth is. Therefore, those who disagree with you are godless, don't know the truth, and mean to impose untruth upon you! Nuts!",not toxic
304,start coffee machine,iot_coffee
305,No one is telling you that you have to chant.  But earlier waves of immigrants certainly brought new cultural practices that were as disruptive at the time as new immigrants do today.,not toxic
306,i want hot coffee,iot_coffee
307,what is the forecast for today,weather
308,Besides all of the Hawaii statutes using MJ is still a federal felony and the Feds have wide latitude in confiscating property where illegal drug use takes place. Attorney General Sessions may want to take your tour bus if you let someone light up a J onboard.,not toxic
309,I am still waiting on my card?,card_arrival
310,What other credit cards can I use?,supported_cards_and_currencies
311,"The FBI and Justice Department would not defy Nunes so flagrantly if somebody didn't have their back, namely the tacit support of Paul Ryan.  The question that should be asked is, where are Wray and Sessions?  Is Wray unable to make the FBI comply?  Can't Sessions order his subordinate at Justice honor the subpoena?
Something doesn't pass the smell test.",not toxic
312,your scenarios on your p. c. and transfer them back to the via the hot,iot_hue_lightchange
313,let's play that song again,play_music
314,Is there a way to revert a transaction?,cancel_transfer
315,"I don't think he does. He just keeps giving stock posts, year after year.",not toxic
316,check my laptop is working,general_quirky
317,could you fix me some coffee,iot
318,"My card still hasn't arrived after two weeks, now what?",card_arrival
319,How can I check on the delivery status of my card?,card_arrival
320,select rai music file,play
321,is the temperature going to be above fifty tomorrow,weather_query
322,"Honestly with all these theories from 9-11, Obama's birth certificate, and many more can anyone tell us of one that turned out to be true?",not toxic
323,show me nearby take-out restaurants,takeaway_order
324,How can I link the new card?,card_linking
325,"OT:  "". If he starts behaving like a mature, honest, thoughtful person who stops lashing out at anyone who criticizes him, and who puts the best interest of the country and all its people ahead of a narrow, ego gratifying agenda - that's all I ask.""   I fear you're asking for far too much.  You're asking Donald Trump to totally change his values, his morals and the persona he's developed over 71 years.  ....think of Popeye....""I yam what I yam.""  That's the Donald....past, present, and barring a genuine miracle, future. Gary crum",not toxic
326,"Without conspiracies, the situation could still be the result of amateur reviewers with zero guidance and widely varying personal standards. I know that, personally, some marginal comments would be flagged or not depending on my mood of the moment.",not toxic
327,initiate classical music,play
328,What should I do if I exceed my PIN tries?,pin_blocked
329,keep track of the standing rock protest,news
330,i want to listen to a joke,general
331,Both of you are wrong because George was an advisers to Trump and there are pictures of him sitting with Trump at the meetings.   Manafort was running Trump's campaign for a short period of time and he was later removed.  Trump is now trying to distance himself from these people by saying he didn't know George and that is a big lie.,not toxic
332,How can we correct a mistake on an ATM transaction?  The app shows what I should have gotten.,wrong_amount_of_cash_received
333,turn off the lamp in the living room,iot
334,i need to hear the volume of the current music,audio
335,i said,general_quirky
336,kfi is my favorite rapper,music_likeness
337,change up the light colors at home,iot_hue_lightup
338,"I tried to add a topup to my account but the money isn't there, anymore. Did I do something wrong?",top_up_reverted
339,lights out,iot_hue_lighton
340,My money transaction hasn't arrived.,transfer_not_received_by_recipient
341,set alarm for six am tomorrow,alarm
342,what are the top news headlines right now,news
343,"If anyone wonders what a Hawaiian government under the federal control of the U.S. would look like one need only look at the dishonorable, disgraceful acts of genocide, oppression and theft committed by the US government against the indigenous first nations people of America.

But the comparison ends there because of the clear difference between the plight of indigenous Americans compared to Hawaiians. Indigenous Americans lived in tribes which claimed various areas of North America. They never unified as a single nation.

Hawaiians were always unified as one people and one nation even despite the internecine conflicts among chiefs to establish dominance, conflicts which ended when Kamehameha the great unified all of the islands under his singular rule to establish the kingdom and nation of Hawai'i.

The US NEVER legally annexed Hawai'i so it NEVER established legal authority or jurisdiction over Hawaii. The Kingdom of Hawai'i continues to exist as the ONLY lawful government of Hawai'i",not toxic
344,What is the exchange looking like?,exchange_rate
345,go to rap list,play
346,My transfer didn't arrive to the recipient,transfer_not_received_by_recipient
347,save this song,music_likeness
348,turn the lights off to my room,iot
